question,ground_truth,prediction,tool,expr,correct,baseline_prediction,baseline_correct
what does jamaican people speak?,,"jamaican patois is an english-based creole language mixed heavily with predominantly west african languages and some influences from arawak ...
jamaican patois also known as patwa or jamaican creole is the most widely spoken language on the island. while approximately 50000 jamaicans ...",search,,True,the vast majority of jamaicans speak english as their first language. english has been the official language of jamaica since its independence from the united kingdom in 1962. however there are also jamaican english patois and creole languages that are spoken by some jamaicans particularly in rural areas and,True
what did james k polk do before he was president?,,"early political career  tennessee state legislator  jackson disciple  ways and means chair and speaker of the house  governor of tennessee.
polk passed the state bar exam in 1820. while working on his legal studies he secured a job as clerk of the state senatethe bureaucratic post responsible for ...
james k. polk was a seven-term u.s. congressman speaker of the house governor of tennessee and the 11th president of the united states. he was a jacksonian ...",search,,True,before james k. polk became the 11th president of the united states 1845-1849 he had a distinguished political career in tennessee. he served in the tennessee state legislature from 1823 to 1825 and was speaker of the,True
what is the oregon ducks 2012 football schedule?,,"oregon ducks schedule 2012  sat 929.  wsu. w51-26  sat 106. vs wash 23 wash. w52-21  thu 1018.  asu. w43-21  sat 1027. vs colo. w70-14 ...
the official 2012 football schedule for the university of oregon ducks.
schedule  september 1 730 pm arkansas state  september 8 330 pm fresno state  september 15 1200 pm tennessee tech  september 22 730 pm no. 22 ...",search,,True,"id be happy to help you with that heres the oregon ducks 2012 football schedule

sept. 1 vs. arkansas state autzen stadium eugene or
sept. 8 at tennessee neyland stadium kn",True
who plays ken barlow in coronation street?,,"william patrick roache born 25 april 1932 is an english actor. he is best known for playing ken barlow in the itv soap opera coronation street
william patrick bill roache mbe is an english actor. he has played ken barlow in the soap opera coronation street since its first episode on 9 december 1960. ...
kenneth ken barlow is a fictional character from the british itv soap opera coronation street played by william roache. he was created by tony warren as one ...",search,,True,ken barlow is a long-standing character in the british soap opera coronation street. he was originally portrayed by actor bill roache from the shows debut in 1960 until 2020. despite rumors of his departure roache continues to play the role,True
what happened after mr. sugihara died?,,"he suffered a personal tragedy in 1947 when his youngest son haruki died at the age of seven shortly after their return to japan. ... chiune sugihara died ...
when sugihara returned to japan in 1947 the foreign ministry retired him with a small pension as part of a large staff reduction enacted under the american ...
it was only after sugihara died in 1986 at age 86 and a large group of jewish mourners including israels ambassador attended his funeral ...",search,,True,after chiune sugiharas death in 1986 his actions during world war ii became widely known and he was posthumously recognized for saving the lives of thousands of jews. his story inspired numerous books films and other artistic works. in 1985 israel,True
who did mozart write his four horn concertos for?,,"the four horn concertos by wolfgang amadeus mozart were written for his friend joseph leutgeb whom he had known since childhood. leutgeb was a skilled player ...
wikipedia says that the four horn concertos by wolfgang amadeus mozart were written for his friend joseph leutgeb whom he had known since ...
mozarts horn concerto no. 4 was composed in 1786 and like his other three concertos it was written for the austrian horn player joseph leutgeb.",search,,True,mozart wrote his four horn concertos k. 412 417 417b and 495 for the salzburg court orchestra specifically for the four horn players who were members of the ensemble at the time. these concertos showcase the,True
where is jamarcus russell from?,,"jamarcus trenell russell born august 9 1985 is an american former professional football quarterback who played in the national football league nfl for ...
position quarterback. height 66. weight 260. class junior. hometown mobile ala. high school williamson hs. no. 1 overall pick in 2007 nfl draft.
jamarcusrussell  birthdate. 891985  college. oregon  draft info. 2007 rd 1 pk 1 oak. follow. stats. yds. 4083. td. 18. int. 23.",search,,True,jamarcus russell is from mobile alabama. he was born on january 1 1985. russell played college football at louisiana state university lsu and was drafted by the oakland raiders as the first overall pick in the 2007 nfl draft. he,True
where was george washington carver from?,,"1999 usda names a portion of its beltsville maryland campus the george washington carver center. 2002 iowa award the states highest citizen award. ...
george washington carver a leader in agriculture innovation and a proud son of missouri was born about 1864 exact year unknown to moses carver on a farm ...
george washington carvers remarkable life began on a homestead established by moses carver near diamond grove missouri.",search,,True,george washington carver was born into slavery on a farm in diamond missouri in the united states around 1864. after the end of the civil war he received an education at various schools including the iowa state agricultural college now iowa state university where he studied botany and agriculture,True
what else did ben franklin invent?,,"here are some of benjamin franklins most significant inventions  lightning rod  bifocals  swim fins  franklin stove  urinary catheter  armonica.
swim fins 1717  franklinpennsylvania stove 1741  lightning rod 1750  flexible catheter 1752  24-hour three-wheel clock that was much simpler than ...
benjamin franklin invented a number of things including the odometer glass armonica the long arm and bifocal eyeglasses. what is benjamin ...",search,,True,"ben franklin was a prolific inventor and innovator and is credited with inventing or contributing to the development of many devices and concepts. some of his most famous inventions and discoveries include

1. the lightning rod franklins invention of the lightning rod is perhaps his most well",True
who was richard nixon married to?,,"thelma catherine pat nixon ne ryan march 16 1912  june 22 1993 was first lady of the united states from 1969 to 1974 as the wife of president richard ...
richard and pat nixon were married in 1940 and she supported him throughout the ups and downs of his long political career.
while auditioning for a local theatre production she met richard nixon and the two were married on june 21 1940. ... on august 9 1974 president richard nixon ...",search,,True,richard nixon was married to patricia ryan nixon also known as pat nixon. they were married on june 21 1940. pat nixon passed away on june 22 1993.,True
what country did germany invade first in ww1?,,"germany entered into world war i on august 1 1914 when it declared war on russia. in accordance with its war plan it ignored russia and moved first ...
germany invades belgium after declaring war on france germany was now determined to execute its war plan to defeat france first and then concentrate its ...
august 2-7 1914. germany invades luxembourg and belgium. france invades alsace. british forces arrive in france. nations allied against germany were eventually ...",search,,True,in world war 1 germany did not invade another country first. germany declared war on russia on august 1 1914 and france and belgium on august 3 1914 in response to their mobilization against germany and the violation of belgian neutrality by the,True
what is the best sandals resort in st lucia?,,"compare all three sandals resorts in st. lucia - sandals la toc sandals grande st lucian and sandals halcyon beach.
of the 3 the grande is generally the consensus recommended choice. i really recommend spending a day at la toc if you stay at the grande. pick ...
the three sandals properties sandals la toc sandals halcyon beach and sandals grande st. lucian are located in the northern part of the island near castries.",search,,True,st. lucia is known for its beautiful beaches and lush landscapes making it an ideal destination for those seeking a relaxing vacation. when it comes to the best sandals resort in st. lucia sandals regency la toc golf resort  spa is a popular choice. this all,True
who is governor of ohio 2011?,,"gov. john kasich ohio 2011 - 2019  gov. ted strickland ohio 2007 - 2011  gov. bob taft ohio 1999 - 2007  gov. nancy p. hollister ohio 1998 - 1999
john richard kasich jr is an american politician and author who was the 69th governor of ohio from 2011 to 2019. a member of the republican party ...
dem. scioto jan. 8 2007- jan. 10 2011. 92 69 john kasich rep. delaware jan. 10 2011-jan. 12 2015. 93 john kasich rep. delaware jan. 12 2015 - jan.",search,,True,john kasich served as the governor of ohio from january 2011 to january 2019. he is a member of the republican party. prior to his tenure as governor kasich served in the united states house of representatives from 1983 to 2001,True
who was vice president after kennedy died?,,"after president kennedy was assassinated and his vice president lyndon b. johnson assumed the presidency there was a 14-month period where the united ...
vice president johnson assumed the presidency in 1963 after president kennedy was assassinated. the following year johnson won re election to the presidency ...
stuart symington was jfks pick for vice president. according to some who have researched how lbj got on the ticket on the night jfk was ...",search,,True,after president john f. kennedy was assassinated on november 22 1963 vice president lyndon b. johnson became the 36th president of the united states. johnson had assumed the role of vice president just a month earlier on november 22 196,True
where is the fukushima daiichi nuclear plant located?,,"the fukushima daiichi nuclear power plant is a disabled nuclear power plant located on a 350-hectare 860-acre site in the towns of kuma and futaba in ...
the fukushima daiichi nuclear power station is located on an 860 acre site near the towns of okuma and futaba in the futaba district of fukushima prefecture ...
this information paper describes in detail the causes of the nuclear accident at fukushima daiichi in march 2011 and the actions taken since.",search,,True,the fukushima daiichi nuclear power plant is located in okuma fukushima prefecture japan. it is situated along the pacific ocean coast approximately 140 miles 230 kilometers northeast of tokyo. the power plant consists of six bo,True
who is the minority leader of the house of representatives now?,,"hakeem s. jeffries the representative from new york - in congress from 2013 through present.
minority leaders of the house 1899 to present  116th 20192021 mccarthy kevin republican  117th 20212023 mccarthy kevin republican  118th 2023 ...
rep. mike johnson elected by the whole of the house of representatives the speaker acts as leader of the house and combines several roles.",search,,True,as of my knowledge up to january 2023 the minority leader of the united states house of representatives is hakeem jeffries d-new york. he assumed the role following the democratic partys loss of the house majority in the 2022 midterm elections. prior,True
what countries are part of the uk?,,"the united kingdom has been made up of four countries england scotland wales which collectively make up great britain and northern ireland
the united kingdom uk is made up of england scotland wales and northern ireland.
great britain is an island in the north atlantic ocean off the north-west coast of continental europe consisting of the countries england scotland and wales.",search,,True,the united kingdom is composed of four countries england scotland wales and northern ireland. each of these countries has its own distinct culture history and traditions but they are all united under the british monarchy and have a shared political system. england is the largest and most populous of the four countries,True
who plays bilbo baggins in the hobbit?,,"freeman played lead character bilbo baggins in peter jacksons three-part the hobbit film series. for his performance in the first part the hobbit an ...
martin freeman is an english actor known for portraying bilbo baggins in peter jacksons the hobbit film trilogy tim canterbury in the original uk version ...
holm as bilbo baggins in the lord of the rings the fellowship of the ring. the role brought him wider fame somewhat overshadowing the rest of his acting ...",search,,True,in the film adaptations of j.r.r. tolkiens the hobbit bilbo baggins is portrayed by british actor martin freeman. freeman is known for his work in various television shows including the office and sherlock as well as films,True
what things did martin luther king do?,,"a black church leader king participated in and led marches for the right to vote desegregation labor rights and other civil rights. he oversaw the 1955 ...
martin luther king jr. his adoption of nonviolent resistance to achieve equal rights for black americans earned him the nobel peace prize in 1964.
dr. king is widely regarded as americas pre-eminent advocate of nonviolence and one of the greatest nonviolent leaders in world history.",search,,True,"martin luther king jr. was a civil rights activist and leader in the african american community in the united states. he is best known for his role in the advancement of civil rights using nonviolent civil disobedience based on his christian beliefs.

king led the 1955 montgomery",True
what is my timezone in louisiana?,,calculator error invalid syntax string line 0,calculator,,True,louisiana is primarily located in the central time zone ct in the united states. however there are some areas in the extreme western part of the state that observe mountain time mt or central daylight time cdt during daylight saving time. to be sure check with your specific location or city,True
